gene	reference	direction	firstBase	lastBase
gene_2503	NC_000962.3	-	2750316	2751568
rpfE	NC_000962.3	-	2751668	2752177
gene_2505	NC_000962.3	+	2752262	2752651
gene_2506	NC_000962.3	-	2752851	2752986
mobA	NC_000962.3	-	2753019	2753620
gene_2508	NC_000962.3	-	2753630	2754746
gene_2509	NC_000962.3	-	2754745	2756703
gene_2510	NC_000962.3	-	2756940	2758186
clpX	NC_000962.3	-	2758211	2759486
mmuM	NC_000962.3	+	2759787	2760681
gene_2513	NC_000962.3	+	2760853	2762376
clpP2	NC_000962.3	-	2762535	2763166
clpP1	NC_000962.3	-	2763178	2763770
tig	NC_000962.3	-	2763899	2765290
proU	NC_000962.3	-	2765334	2765398
glyV	NC_000962.3	+	2765546	2765610
lipP	NC_000962.3	+	2765657	2766833
gene_2520	NC_000962.3	-	2766862	2767662
rpiB	NC_000962.3	-	2767672	2768153
gene_2522	NC_000962.3	-	2768262	2768878
pepN	NC_000962.3	+	2768991	2771567
gene_2524	NC_000962.3	-	2771652	2772138
gene_2525	NC_000962.3	-	2772098	2772331
gene_2526	NC_000962.3	-	2772374	2773032
glbO	NC_000962.3	+	2773185	2773558
aglA	NC_000962.3	+	2773567	2775198
gene_2529	NC_000962.3	+	2775272	2775563
gene_2530	NC_000962.3	+	2775575	2776278
gene_2531	NC_000962.3	-	2776320	2776966
gene_2532	NC_000962.3	-	2776978	2777382
gdh	NC_000962.3	-	2777396	2782261
gene_2534	NC_000962.3	-	2782367	2784040
gene_2535	NC_000962.3	-	2784129	2784606
gene_2536	NC_000962.3	-	2786581	2786898
plsB2	NC_000962.3	-	2786916	2789276
plsC	NC_000962.3	-	2789283	2791021
gene_2539	NC_000962.3	-	2791018	2792488
lipQ	NC_000962.3	-	2792731	2793986
argW	NC_000962.3	+	2794179	2794243
echA14	NC_000962.3	+	2794354	2795115
PE_PGRS42	NC_000962.3	-	2795301	2797379
gene_2544	NC_000962.3	-	2797473	2800877
gene_2545	NC_000962.3	-	2800848	2801138
PE_PGRS43	NC_000962.3	-	2801260	2806229
gene_2547	NC_000962.3	-	2806326	2806522
gene_2548	NC_000962.3	+	2806669	2807282
gene_2549	NC_000962.3	+	2807280	2808029
vapB38	NC_000962.3	+	2808087	2808299
vapC38	NC_000962.3	+	2808310	2808728
bkdC	NC_000962.3	-	2808763	2809930
bkdB	NC_000962.3	-	2809943	2810982
bkdA	NC_000962.3	-	2810993	2812095
citE	NC_000962.3	-	2812359	2813170
gene_2556	NC_000962.3	-	2813180	2813726
fadE19	NC_000962.3	-	2813727	2814907
accA1	NC_000962.3	-	2814916	2816875
accD1	NC_000962.3	-	2816885	2818471
scoB	NC_000962.3	-	2818475	2819127
scoA	NC_000962.3	-	2819125	2819861
fadD35	NC_000962.3	-	2819952	2821596
gene_2563	NC_000962.3	+	2821713	2822353
gene_2564	NC_000962.3	+	2822437	2823255
gene_2565	NC_000962.3	-	2823256	2824591
gene_2566	NC_000962.3	+	2824682	2825480
gene_2567	NC_000962.3	-	2825494	2827080
orn	NC_000962.3	+	2827158	2827799
hisT	NC_000962.3	+	2827857	2827922
gene_2570	NC_000962.3	-	2828562	2829798
gene_2571	NC_000962.3	+	2829962	2830132
gene_2572	NC_000962.3	+	2830168	2830581
gene_2573	NC_000962.3	-	2830877	2831332
gene_2574	NC_000962.3	-	2831345	2832585
gene_2575	NC_000962.3	-	2832716	2833507
gene_2576	NC_000962.3	-	2833513	2833755
ldtB	NC_000962.3	-	2834116	2835332
lysU	NC_000962.3	+	2835502	2835560
PE26	NC_000962.3	+	2835789	2837258
gene_2580	NC_000962.3	-	2837393	2837609
bcp	NC_000962.3	+	2837689	2838149
gene_2582	NC_000962.3	-	2838128	2839537
acpS	NC_000962.3	-	2839545	2839925
fas	NC_000962.3	-	2840129	2849326
gene_2585	NC_000962.3	-	2849852	2850567
vapB17	NC_000962.3	+	2851093	2851313
vapC17	NC_000962.3	+	2851321	2851712
mrr	NC_000962.3	-	2851752	2852669
gene_2589	NC_000962.3	+	2852875	2854260
vapC39	NC_000962.3	-	2854266	2854679
vapB39	NC_000962.3	-	2854684	2854906
gene_2592	NC_000962.3	-	2854940	2857777
gene_2593	NC_000962.3	-	2857856	2858252
nusB	NC_000962.3	-	2858255	2858715
efp	NC_000962.3	-	2858734	2859288
pepQ	NC_000962.3	-	2859304	2860409
gene_2597	NC_000962.3	+	2860456	2861135
aroD	NC_000962.3	-	2861154	2861584
aroB	NC_000962.3	-	2861588	2862672
aroK	NC_000962.3	-	2862675	2863203
aroF	NC_000962.3	-	2863207	2864404
gene_2602	NC_000962.3	+	2864434	2864831
gene_2603	NC_000962.3	+	2865131	2866334
lppA	NC_000962.3	+	2866467	2867123
lppB	NC_000962.3	+	2867129	2867781
vapB18	NC_000962.3	+	2867784	2868052
vapC18	NC_000962.3	+	2868157	2868559
vapB19	NC_000962.3	+	2868611	2868858
vapC19	NC_000962.3	+	2868862	2869228
gene_2610	NC_000962.3	-	2869253	2869627
vapC20	NC_000962.3	-	2869732	2870114
vapB20	NC_000962.3	-	2870122	2870356
gene_2613	NC_000962.3	-	2870779	2871185
aroE	NC_000962.3	-	2871205	2872012
gene_2615	NC_000962.3	-	2872017	2873257
gene_2616	NC_000962.3	-	2873258	2873769
alaS	NC_000962.3	-	2873771	2876485
gene_2618	NC_000962.3	-	2876581	2876957
gene_2619	NC_000962.3	+	2877077	2877742
gene_2620	NC_000962.3	+	2877835	2878537
gene_2621	NC_000962.3	-	2878573	2879923
gene_2622	NC_000962.3	+	2880078	2881051
gene_2623	NC_000962.3	+	2881413	2882146
gene_2624	NC_000962.3	+	2882290	2883332
glnQ	NC_000962.3	+	2883348	2884330
gene_2626	NC_000962.3	+	2884619	2886359
gene_2627	NC_000962.3	+	2886379	2889789
gene_2628	NC_000962.3	+	2889800	2892444
gene_2629	NC_000962.3	-	2892445	2893471
gene_2630	NC_000962.3	-	2893463	2894405
gene_2631	NC_000962.3	+	2894514	2894892
gene_2632	NC_000962.3	-	2894893	2895954
aspS	NC_000962.3	-	2896015	2897794
gene_2634	NC_000962.3	+	2898051	2898781
gene_2635	NC_000962.3	+	2898814	2899305
gene_2636	NC_000962.3	+	2899341	2900216
gene_2637	NC_000962.3	-	2900226	2900688
gene_2638	NC_000962.3	+	2900917	2902500
gene_2639	NC_000962.3	-	2902508	2903530
dhaA	NC_000962.3	+	2903638	2904534
hisS	NC_000962.3	-	2904828	2906091
gene_2642	NC_000962.3	-	2906095	2906756
ppiB	NC_000962.3	+	2906820	2907731
relA	NC_000962.3	-	2907826	2910198
apt	NC_000962.3	-	2910237	2910899
gene_2646	NC_000962.3	-	2911003	2912672
secF	NC_000962.3	-	2912691	2914006
secD	NC_000962.3	-	2914020	2915736
yajC	NC_000962.3	-	2915846	2916191
gabT	NC_000962.3	+	2916363	2917704
fadD9	NC_000962.3	+	2917879	2921373
PE_PGRS44	NC_000962.3	+	2921553	2923177
ruvB	NC_000962.3	-	2923201	2924232
ruvA	NC_000962.3	-	2924229	2924817
ruvC	NC_000962.3	-	2924821	2925381
vapB40	NC_000962.3	+	2925497	2925735
vapC40	NC_000962.3	+	2925736	2926129
gene_2658	NC_000962.3	+	2926358	2926969
gene_2659	NC_000962.3	+	2926989	2927473
gene_2660	NC_000962.3	+	2927484	2927900
gene_2661	NC_000962.3	+	2927997	2928382
speE	NC_000962.3	+	2928390	2929958
vapB41	NC_000962.3	+	2930075	2930351
vapC41	NC_000962.3	+	2930344	2930781
gene_2665	NC_000962.3	-	2930807	2931552
snoP	NC_000962.3	-	2931701	2932285
tesB2	NC_000962.3	-	2932301	2933141
snzP	NC_000962.3	-	2933179	2934061
pdxH	NC_000962.3	+	2934199	2934865
PPE42	NC_000962.3	+	2935047	2936780
gene_2671	NC_000962.3	-	2936812	2937862
pimA	NC_000962.3	-	2937873	2938997
gene_2673	NC_000962.3	-	2939020	2939958
pgsA1	NC_000962.3	-	2939962	2940605
gene_2675	NC_000962.3	-	2940614	2941195
thrS	NC_000962.3	-	2941194	2943258
gene_2677	NC_000962.3	+	2943379	2943601
PE_PGRS45	NC_000962.3	-	2943607	2944984
gene_2679	NC_000962.3	+	2945330	2945830
gene_2680	NC_000962.3	-	2945847	2946278
gene_2681	NC_000962.3	+	2946441	2947103
gene_2682	NC_000962.3	-	2947102	2947442
gene_2683	NC_000962.3	-	2947462	2947884
gene_2684	NC_000962.3	-	2947889	2948553
gene_2685	NC_000962.3	+	2948640	2949448
TB31.7	NC_000962.3	+	2949599	2950486
gene_2687	NC_000962.3	-	2950488	2951302
gene_2688	NC_000962.3	-	2951326	2952502
hrp1	NC_000962.3	-	2952568	2952985
gene_2690	NC_000962.3	-	2953509	2954743
gene_2691	NC_000962.3	+	2955058	2955414
gene_2692	NC_000962.3	+	2955775	2956891
gene_2693	NC_000962.3	+	2956895	2957427
gene_2694	NC_000962.3	+	2957576	2958865
gene_2695	NC_000962.3	-	2958910	2959183
gene_2696	NC_000962.3	-	2959338	2959816
PE_PGRS46	NC_000962.3	-	2960104	2962436
gene_2698	NC_000962.3	+	2962475	2962712
gene_2699	NC_000962.3	+	2962717	2963387
dedA	NC_000962.3	+	2963589	2964242
gene_2701	NC_000962.3	+	2964405	2964845
gene_2702	NC_000962.3	-	2965027	2965353
gene_2703	NC_000962.3	-	2965478	2965829
cadI	NC_000962.3	+	2965941	2966392
gene_2705	NC_000962.3	+	2966535	2966912
arsC	NC_000962.3	+	2966911	2968401
gene_2707	NC_000962.3	-	2968534	2968850
valT	NC_000962.3	-	2969501	2969565
glyT	NC_000962.3	+	2969758	2969823
cysU	NC_000962.3	+	2969859	2969916
valU	NC_000962.3	+	2969945	2970004
gene_2712	NC_000962.3	+	2970129	2970546
gene_2713	NC_000962.3	+	2970552	2971542
gene_2714	NC_000962.3	+	2971566	2972022
gene_2715	NC_000962.3	-	2973794	2975231
gene_2716	NC_000962.3	-	2975250	2975766
gene_2717	NC_000962.3	-	2975932	2976547
gene_2718	NC_000962.3	-	2976594	2976905
gene_2719	NC_000962.3	-	2976993	2977227
gene_2720	NC_000962.3	-	2977238	2978650
gene_2721	NC_000962.3	-	2978661	2979046
gene_2722	NC_000962.3	-	2979052	2979306
gene_2723	NC_000962.3	-	2979329	2979684
gene_2724	NC_000962.3	-	2979698	2980814
gene_2725	NC_000962.3	-	2980971	2981185
gene_2726	NC_000962.3	-	2981188	2981572
gene_2727	NC_000962.3	+	2981487	2981746
gene_2728	NC_000962.3	+	2981856	2982084
gene_2729	NC_000962.3	+	2982100	2982345
gene_2730	NC_000962.3	+	2982698	2982972
clpC2	NC_000962.3	+	2983898	2984648
gene_2732	NC_000962.3	+	2984737	2985254
gene_2733	NC_000962.3	+	2985290	2985747
gene_2734	NC_000962.3	-	2985732	2986839
ribD	NC_000962.3	+	2986843	2987606
gene_2736	NC_000962.3	+	2987690	2989265
aftC	NC_000962.3	+	2989290	2990587
msrB	NC_000962.3	+	2990705	2991114
gene_2739	NC_000962.3	-	2991184	2991933
gene_2740	NC_000962.3	-	2991939	2992626
hemY	NC_000962.3	-	2992633	2993984
hemE	NC_000962.3	-	2993989	2995057
echA15	NC_000962.3	+	2995122	2995945
gene_2744	NC_000962.3	+	2996110	2996732
gene_2745	NC_000962.3	+	2996746	2998053
dxs1	NC_000962.3	-	2998052	2999968
gene_2747	NC_000962.3	+	3000116	3000607
arsA	NC_000962.3	+	3000621	3001898
arsB1	NC_000962.3	+	3001987	3003263
gene_2750	NC_000962.3	-	3003288	3004035
gene_2751	NC_000962.3	-	3004039	3004748
gene_2752	NC_000962.3	-	3004748	3005648
gene_2753	NC_000962.3	-	3005851	3007060
gene_2754	NC_000962.3	-	3007243	3009206
ceoB	NC_000962.3	+	3009349	3010026
ceoC	NC_000962.3	+	3010030	3010684
gene_2757	NC_000962.3	-	3010704	3011366
gene_2758	NC_000962.3	-	3011402	3011760
gene_2759	NC_000962.3	+	3011918	3012619
gene_2760	NC_000962.3	-	3012834	3013607
dut	NC_000962.3	-	3013687	3014142
gene_2762	NC_000962.3	+	3014179	3014654
gene_2763	NC_000962.3	-	3014664	3014960
gene_2764	NC_000962.3	+	3015209	3015844
suhB	NC_000962.3	-	3015864	3016735
ppgK	NC_000962.3	+	3016862	3017647
sigA	NC_000962.3	+	3017836	3019419
gene_2768	NC_000962.3	+	3019458	3019877
gene_2769	NC_000962.3	-	3019822	3020203
gene_2770	NC_000962.3	-	3020206	3020448
gene_2771	NC_000962.3	+	3020577	3021545
gene_2772	NC_000962.3	-	3021552	3021792
gene_2773	NC_000962.3	+	3021839	3022282
sigB	NC_000962.3	+	3022462	3023428
ideR	NC_000962.3	+	3023568	3024249
gene_2776	NC_000962.3	-	3024276	3025320
sthA	NC_000962.3	+	3025447	3026846
gene_2778	NC_000962.3	+	3027070	3028037
gene_2779	NC_000962.3	+	3028106	3029114
gene_2780	NC_000962.3	+	3029172	3029856
gene_2781	NC_000962.3	-	3029867	3030360
nrdR	NC_000962.3	-	3030412	3030875
gene_2783	NC_000962.3	-	3031046	3031537
lexA	NC_000962.3	+	3031787	3032496
gene_2785	NC_000962.3	-	3032525	3034614
gene_2786	NC_000962.3	+	3034638	3034879
gene_2787	NC_000962.3	+	3034914	3036099
fadE20	NC_000962.3	-	3036130	3037283
hflX	NC_000962.3	-	3037433	3038913
dapF	NC_000962.3	-	3038930	3039791
miaA	NC_000962.3	-	3039831	3040769
gene_2792	NC_000962.3	-	3040769	3041459
gene_2793	NC_000962.3	-	3041577	3042475
gene_2794	NC_000962.3	+	3042545	3043015
gene_2795	NC_000962.3	+	3043031	3044370
gene_2796	NC_000962.3	-	3044382	3044982
gene_2797	NC_000962.3	-	3044986	3046518
gene_2798	NC_000962.3	+	3046828	3047673
gene_2799	NC_000962.3	-	3047568	3048548
recX	NC_000962.3	-	3048570	3049084
recA	NC_000962.3	-	3049058	3051417
gene_2802	NC_000962.3	-	3051813	3052003
gene_2803	NC_000962.3	-	3052026	3053188
ephG	NC_000962.3	+	3053241	3053682
PE_PGRS47	NC_000962.3	+	3053918	3055485
gene_2806	NC_000962.3	-	3055516	3056341
gene_2807	NC_000962.3	-	3056427	3057224
35kd_ag	NC_000962.3	-	3057252	3058060
clgR	NC_000962.3	-	3058193	3058523
pgsA3	NC_000962.3	-	3058603	3059231
argA	NC_000962.3	+	3059269	3059783
ftsK	NC_000962.3	-	3059862	3062498
gene_2813	NC_000962.3	+	3062507	3062816
gene_2814	NC_000962.3	+	3062824	3063630
gene_2815	NC_000962.3	+	3063646	3064527
gene_2816	NC_000962.3	-	3064517	3066182
dapA	NC_000962.3	-	3066226	3067118
thyX	NC_000962.3	-	3067192	3067941
hsdM	NC_000962.3	-	3068469	3070077
vapC21	NC_000962.3	-	3070175	3070582
vapB21	NC_000962.3	-	3070590	3070849
vapC42	NC_000962.3	-	3070880	3071262
vapB42	NC_000962.3	-	3071274	3071530
hsdS	NC_000962.3	-	3071546	3072639
gene_2825	NC_000962.3	-	3072640	3073052
dfrA	NC_000962.3	-	3073134	3073603
thyA	NC_000962.3	-	3073679	3074470
gene_2828	NC_000962.3	+	3074644	3075364
gene_2829	NC_000962.3	-	3075588	3076362
gene_2830	NC_000962.3	-	3076370	3076720
PPE43	NC_000962.3	-	3076898	3078078
PE27	NC_000962.3	-	3078165	3078982
PPE44	NC_000962.3	-	3079309	3080455
gene_2834	NC_000962.3	-	3080581	3081026
gene_2835	NC_000962.3	-	3081119	3081591
dapB	NC_000962.3	-	3081605	3082341
gene_2837	NC_000962.3	-	3082359	3082753
gene_2838	NC_000962.3	+	3082912	3083365
gene_2839	NC_000962.3	-	3083382	3084297
gene_2840	NC_000962.3	-	3084491	3085546
gene_2841	NC_000962.3	-	3085715	3086177
gene_2842	NC_000962.3	-	3086223	3086750
ald	NC_000962.3	+	3086827	3087928
gene_2844	NC_000962.3	-	3087950	3088975
pepR	NC_000962.3	-	3089050	3090355
gpsI	NC_000962.3	-	3090340	3092591
lppU	NC_000962.3	-	3092956	3093463
rpsO	NC_000962.3	-	3093487	3093743
ribF	NC_000962.3	-	3093907	3094894
gene_2850	NC_000962.3	+	3095116	3096868
sirR	NC_000962.3	+	3096966	3097640
fadE21	NC_000962.3	-	3097706	3098931
ltp1	NC_000962.3	-	3098967	3100163
gene_2854	NC_000962.3	-	3100210	3101573
gene_2855	NC_000962.3	-	3101588	3102153
truB	NC_000962.3	-	3102371	3103259
pptT	NC_000962.3	-	3103262	3103932
gene_2858	NC_000962.3	-	3103939	3104903
lppV	NC_000962.3	-	3105055	3105612
gene_2860	NC_000962.3	-	3105618	3107301
gene_2861	NC_000962.3	-	3107318	3107628
gene_2862	NC_000962.3	+	3107776	3108390
gene_2863	NC_000962.3	+	3108418	3110063
mazF9	NC_000962.3	-	3110167	3110516
mazE9	NC_000962.3	-	3110515	3110730
gene_2866	NC_000962.3	-	3110780	3111822
gene_2867	NC_000962.3	+	3111826	3112288
gene_2868	NC_000962.3	-	3112464	3113091
gene_2869	NC_000962.3	+	3112870	3113262
gene_2870	NC_000962.3	+	3113276	3113457
gene_2871	NC_000962.3	+	3113658	3114808
gene_2872	NC_000962.3	+	3115049	3115299
gene_2873	NC_000962.3	+	3115407	3115710
gene_2874	NC_000962.3	+	3116140	3116738
gene_2875	NC_000962.3	+	3116821	3118227
gene_2876	NC_000962.3	+	3118224	3119031
gene_2877	NC_000962.3	-	3123626	3123957
gene_2878	NC_000962.3	-	3123975	3124977
gene_2879	NC_000962.3	-	3124999	3126135
gene_2880	NC_000962.3	-	3126247	3127358
gene_2881	NC_000962.3	-	3127369	3128265
gene_2882	NC_000962.3	-	3128258	3128955
gene_2883	NC_000962.3	-	3128977	3129343
gene_2884	NC_000962.3	-	3129350	3131773
gene_2885	NC_000962.3	-	3131773	3132711
gene_2886	NC_000962.3	-	3132892	3133532
gene_2887	NC_000962.3	-	3133717	3134585
gene_2888	NC_000962.3	-	3134597	3135479
gene_2889	NC_000962.3	-	3135788	3136332
gene_2890	NC_000962.3	-	3136336	3136595
vapC22	NC_000962.3	-	3136627	3137004
vapB22	NC_000962.3	-	3137017	3137216
echA16	NC_000962.3	+	3137270	3138018
ugpC	NC_000962.3	-	3138101	3139175
ugpB	NC_000962.3	-	3139182	3140476
ugpE	NC_000962.3	-	3140492	3141307
ugpA	NC_000962.3	-	3141317	3142215
dinF	NC_000962.3	-	3142311	3143625
gene_2899	NC_000962.3	-	3143635	3144639
rbfA	NC_000962.3	-	3144624	3145162
infB	NC_000962.3	-	3145174	3147867
gene_2902	NC_000962.3	-	3147966	3148255
nusA	NC_000962.3	-	3148387	3149423
gene_2904	NC_000962.3	-	3149426	3149973
gene_2905	NC_000962.3	+	3150171	3150715
gene_2906	NC_000962.3	+	3150713	3151195
proS	NC_000962.3	-	3151203	3152947
efpA	NC_000962.3	-	3153043	3154622
cysG	NC_000962.3	-	3154660	3155871
cobB	NC_000962.3	-	3156147	3157513
cobO	NC_000962.3	-	3157527	3158138
gene_2912	NC_000962.3	-	3158167	3160050
gene_2913	NC_000962.3	-	3160051	3160513
mqo	NC_000962.3	-	3160582	3162056
PE_PGRS48	NC_000962.3	+	3162274	3164109
gene_2916	NC_000962.3	+	3164153	3165191
mtr	NC_000962.3	+	3165212	3166579
nicT	NC_000962.3	+	3166686	3167801
gene_2919	NC_000962.3	-	3168586	3169352
aldC	NC_000962.3	-	3169363	3170716
gene_2921	NC_000962.3	-	3170727	3171643
glnA4	NC_000962.3	-	3171628	3173000
mapB	NC_000962.3	-	3173167	3174012
gene_2924	NC_000962.3	-	3174061	3174635
vapB23	NC_000962.3	+	3174755	3174988
vapC23	NC_000962.3	+	3174999	3175365
gene_2927	NC_000962.3	-	3175458	3177256
relF	NC_000962.3	+	3177537	3177818
relG	NC_000962.3	+	3177828	3178079
gene_2930	NC_000962.3	-	3178464	3179304
gcpE	NC_000962.3	-	3179373	3180528
rip	NC_000962.3	-	3180556	3181762
dxr	NC_000962.3	-	3181771	3183002
vapB43	NC_000962.3	+	3183143	3183391
vapC43	NC_000962.3	+	3183387	3183824
mpt83	NC_000962.3	+	3183912	3184563
dipZ	NC_000962.3	+	3184852	3186934
mpt70	NC_000962.3	+	3187038	3187602
gene_2939	NC_000962.3	+	3187671	3187969
gene_2940	NC_000962.3	-	3188008	3188864
mpt53	NC_000962.3	-	3188882	3189389
cdsA	NC_000962.3	-	3190706	3191616
frr	NC_000962.3	-	3191645	3192196
pyrH	NC_000962.3	-	3192374	3193151
gene_2945	NC_000962.3	+	3193397	3194151
gene_2946	NC_000962.3	-	3194174	3195548
gene_2947	NC_000962.3	-	3195548	3196428
gene_2948	NC_000962.3	+	3196434	3196842
amiC	NC_000962.3	-	3196870	3198285
tsf	NC_000962.3	-	3198296	3199101
rpsB	NC_000962.3	-	3199125	3199979
gene_2952	NC_000962.3	+	3200267	3201013
PPE45	NC_000962.3	-	3200801	3202018
gene_2954	NC_000962.3	+	3202427	3203389
xerC	NC_000962.3	-	3203393	3204281
viuB	NC_000962.3	-	3204380	3205227
gene_2957	NC_000962.3	-	3205267	3206428
gene_2958	NC_000962.3	-	3206431	3207940
gene_2959	NC_000962.3	-	3207947	3208319
fdhD	NC_000962.3	-	3208584	3209403
fdhF	NC_000962.3	-	3209407	3211742
gene_2962	NC_000962.3	-	3211803	3212099
rnhB	NC_000962.3	-	3212165	3212954
lepB	NC_000962.3	-	3212974	3213851
rplS	NC_000962.3	-	3213911	3214244
lppW	NC_000962.3	+	3214636	3215567
trmD	NC_000962.3	-	3215673	3216348
rimM	NC_000962.3	-	3216362	3216885
gene_2969	NC_000962.3	-	3216905	3217144
rpsP	NC_000962.3	-	3217159	3217643
gene_2971	NC_000962.3	-	3217829	3218269
dacB2	NC_000962.3	+	3218345	3219213
gene_2973	NC_000962.3	-	3219273	3219855
gene_2974	NC_000962.3	-	3219870	3221698
pknI	NC_000962.3	-	3221769	3223523
gene_2976	NC_000962.3	-	3223572	3224676
ffh	NC_000962.3	-	3224715	3226278
gene_2978	NC_000962.3	+	3226366	3228234
glnD	NC_000962.3	-	3228254	3230679
glnB	NC_000962.3	-	3230743	3231075
amt	NC_000962.3	-	3231081	3232501
ftsY	NC_000962.3	-	3232875	3234137
smc	NC_000962.3	-	3234191	3237797
acyP	NC_000962.3	-	3237820	3238098
gene_2985	NC_000962.3	-	3238094	3238496
fpg	NC_000962.3	-	3238604	3239469
rnc	NC_000962.3	-	3239833	3240549
gene_2988	NC_000962.3	-	3240552	3241167
gene_2989	NC_000962.3	-	3241221	3241954
tesA	NC_000962.3	+	3242203	3242976
gene_2991	NC_000962.3	+	3242976	3243279
fadD26	NC_000962.3	+	3243704	3245444
ppsA	NC_000962.3	+	3245451	3251069
ppsB	NC_000962.3	+	3251077	3255679
ppsC	NC_000962.3	+	3255684	3262250
ppsD	NC_000962.3	+	3262249	3267728
ppsE	NC_000962.3	+	3267742	3272197
drrA	NC_000962.3	+	3272218	3273200
drrB	NC_000962.3	+	3273209	3274073
drrC	NC_000962.3	+	3274071	3274895
papA5	NC_000962.3	+	3274950	3276216
mas	NC_000962.3	-	3276391	3282715
fadD28	NC_000962.3	+	3283336	3285076
mmpL7	NC_000962.3	+	3285075	3287823
gene_3005	NC_000962.3	+	3288467	3289701
gene_3006	NC_000962.3	+	3289706	3290231
gene_3007	NC_000962.3	+	3289790	3290500
lppX	NC_000962.3	-	3290632	3291321
pks1	NC_000962.3	-	3291507	3296347
pks15	NC_000962.3	-	3296356	3297833
fadD22	NC_000962.3	-	3297844	3299954
gene_3012	NC_000962.3	-	3299979	3300566
fadD29	NC_000962.3	-	3300602	3302453
gene_3014	NC_000962.3	-	3303105	3304239
gene_3015	NC_000962.3	+	3304442	3305247
gene_3016	NC_000962.3	+	3305280	3306533
gene_3017	NC_000962.3	-	3306674	3307384
gene_3018	NC_000962.3	-	3307586	3308537
gene_3019	NC_000962.3	+	3308674	3309392
gene_3020	NC_000962.3	+	3309477	3310297
gene_3021	NC_000962.3	-	3310716	3312000
gene_3022	NC_000962.3	-	3312103	3312838
gene_3023	NC_000962.3	-	3312957	3313195
gene_3024	NC_000962.3	+	3313288	3313664
gene_3025	NC_000962.3	-	3313775	3315119
gene_3026	NC_000962.3	+	3315239	3316447
purU	NC_000962.3	+	3316528	3317459
kdtB	NC_000962.3	-	3318330	3318810
gene_3029	NC_000962.3	-	3318909	3319458
pca	NC_000962.3	-	3319664	3323038
gene_3031	NC_000962.3	-	3323077	3323701
gene_3032	NC_000962.3	-	3323716	3324474
lipN	NC_000962.3	-	3324576	3325702
gene_3034	NC_000962.3	+	3325939	3326102
gene_3035	NC_000962.3	+	3326103	3326947
gene_3036	NC_000962.3	-	3327022	3327728
recG	NC_000962.3	-	3327738	3329939
gene_3038	NC_000962.3	-	3329957	3331358
gene_3039	NC_000962.3	-	3331363	3331604
gene_3040	NC_000962.3	+	3331862	3332042
ung	NC_000962.3	-	3332070	3332749
thiL	NC_000962.3	-	3332789	3333783
gene_3043	NC_000962.3	-	3333793	3335158
gene_3044	NC_000962.3	-	3335166	3335743
gene_3045	NC_000962.3	+	3335960	3336502
ddlA	NC_000962.3	-	3336798	3337916
gpdA2	NC_000962.3	-	3338002	3338997
gene_3048	NC_000962.3	+	3339120	3339757
ppk1	NC_000962.3	+	3339862	3342074
mutT1	NC_000962.3	+	3342168	3343112
hupB	NC_000962.3	-	3343182	3343812
leuD	NC_000962.3	-	3344035	3344628
leuC	NC_000962.3	-	3344660	3346073
gene_3054	NC_000962.3	+	3346150	3346840
gene_3055	NC_000962.3	-	3346865	3347719
gene_3056	NC_000962.3	+	3347982	3348469
gluU	NC_000962.3	-	3348555	3348612
glnU	NC_000962.3	-	3348661	3348727
gltS	NC_000962.3	-	3348805	3350275
gene_3060	NC_000962.3	-	3350273	3350990
gene_3061	NC_000962.3	+	3351273	3352597
leuB	NC_000962.3	-	3352466	3353463
serA1	NC_000962.3	-	3353484	3355065
gene_3064	NC_000962.3	+	3355098	3356533
gene_3065	NC_000962.3	+	3356814	3357272
lppY	NC_000962.3	+	3357604	3358567
gene_3067	NC_000962.3	+	3358620	3359270
ilvC	NC_000962.3	-	3359587	3360586
ilvN	NC_000962.3	-	3360632	3361127
ilvB1	NC_000962.3	-	3361133	3362985
cfp6	NC_000962.3	+	3363351	3363685
gene_3072	NC_000962.3	-	3363695	3364524
lppZ	NC_000962.3	+	3364708	3365828
gene_3074	NC_000962.3	-	3365837	3366443
gene_3075	NC_000962.3	+	3366645	3367264
gatB	NC_000962.3	-	3367266	3368788
pfkA	NC_000962.3	-	3368826	3369848
gatA	NC_000962.3	-	3369953	3371430
gatC	NC_000962.3	-	3371437	3371726
gene_3080	NC_000962.3	+	3371822	3372464
ligA	NC_000962.3	-	3372544	3374615
gene_3082	NC_000962.3	-	3374653	3375660
lpqA	NC_000962.3	+	3375762	3376378
esxQ	NC_000962.3	-	3376491	3376846
PPE46	NC_000962.3	-	3376947	3378234
esxR	NC_000962.3	-	3378713	3379000
esxS	NC_000962.3	-	3379036	3379325
PPE47	NC_000962.3	-	3379384	3380445
PPE48	NC_000962.3	-	3378003	3378234
PE29	NC_000962.3	-	3380686	3380986
gene_3091	NC_000962.3	+	3481455	3482691
trmU	NC_000962.3	-	3382789	3383882
iscS	NC_000962.3	-	3383889	3385057
gene_3094	NC_000962.3	-	3385163	3386077
gene_3095	NC_000962.3	-	3386073	3386914
fixB	NC_000962.3	-	3387078	3388025
fixA	NC_000962.3	-	3388074	3388868
gene_3098	NC_000962.3	+	3389109	3389922
gene_3099	NC_000962.3	+	3389930	3391497
gene_3100	NC_000962.3	+	3391538	3392772
gene_3101	NC_000962.3	+	3392820	3393199
gene_3102	NC_000962.3	+	3393381	3393921
gene_3103	NC_000962.3	-	3394019	3394918
